Time,True_Pitch,Sensor_Pitch
0,0,0.013829369
0.1,0.157053795,0.10685054
0.2,0.313952598,0.120571331
0.3,0.470541567,0.762545563
0.4,0.626666168,0.543307406
0.5,0.782172325,0.76191549
0.6,0.936906573,1.039319001
0.7,1.090716207,1.042355133
0.8,1.243449436,1.283467418
0.9,1.39495553,1.396946103
1,1.545084972,1.517898274
1.1,1.693689601,1.685050515
1.2,1.840622763,1.983868877
1.3,1.985739453,1.86158648
1.4,2.128896458,2.168637193
1.5,2.269952499,2.153024871
1.6,2.408768371,2.353303122
1.7,2.545207079,2.475437348
1.8,2.679133975,2.75446471
1.9,2.810416889,2.71787466
2,2.938926261,2.853945841
2.1,3.064535268,3.125499978
2.2,3.187119949,3.285281091
2.3,3.306559327,3.363146388
2.4,3.42273553,3.312967946
2.5,3.535533906,3.445553535
2.6,3.644843137,3.589650647
2.7,3.750555348,3.758119495
2.8,3.852566214,3.66637816
2.9,3.950775062,3.802501765
3,4.045084972,3.954804405
3.1,4.135402871,4.058748136
3.2,4.221639628,4.241441128
3.3,4.303710135,4.306214109
3.4,4.3815334,4.221095315
3.5,4.455032621,4.399628946
3.6,4.524135262,4.470002298
3.7,4.588773128,4.442754347
3.8,4.648882429,4.690905135
3.9,4.704403845,4.476684256
4,4.755282581,4.720941496
4.1,4.801468428,4.865028875
4.2,4.842915806,4.851273644
4.3,4.87958381,4.863063841
4.4,4.911436254,5.038141648
4.5,4.938441703,5.006611191
4.6,4.960573507,5.097753859
4.7,4.977809823,4.954480409
4.8,4.990133642,4.934689264
4.9,4.997532802,5.143625459
5,5,5.04574222
5.1,4.997532802,4.927808847
5.2,4.990133642,5.022326302
5.3,4.977809823,5.078457803
5.4,4.960573507,4.983288472
5.5,4.938441703,4.996635406
5.6,4.911436254,5.05209921
5.7,4.87958381,4.897232207
5.8,4.842915806,4.862362689
5.9,4.801468428,4.825574035
6,4.755282581,4.73877031
6.1,4.704403845,4.668628792
6.2,4.648882429,4.678889632
6.3,4.588773128,4.572009604
6.4,4.524135262,4.60509389
6.5,4.455032621,4.465636062
6.6,4.3815334,4.434297992
6.7,4.303710135,4.311331382
6.8,4.221639628,4.226006813
6.9,4.135402871,4.277656655
7,4.045084972,3.916442221
7.1,3.950775062,3.8670235
7.2,3.852566214,3.787523928
7.3,3.750555348,3.79826584
7.4,3.644843137,3.6954978
7.5,3.535533906,3.491094261
7.6,3.42273553,3.420870413
7.7,3.306559327,3.335488139
7.8,3.187119949,3.297225753
7.9,3.064535268,3.103719802
8,2.938926261,2.933814602
8.1,2.810416889,2.855610916
8.2,2.679133975,2.699564982
8.3,2.545207079,2.46596174
8.4,2.408768371,2.474072912
8.5,2.269952499,2.204201905
8.6,2.128896458,1.999910462
8.7,1.985739453,2.099490451
8.8,1.840622763,1.906334918
8.9,1.693689601,1.759610241
9,1.545084972,1.59180902
9.1,1.39495553,1.450763895
9.2,1.243449436,1.393795327
9.3,1.090716207,1.160108352
9.4,0.936906573,0.918966716
9.5,0.782172325,0.727150711
9.6,0.626666168,0.555083413
9.7,0.470541567,0.454506093
9.8,0.313952598,0.32474059
9.9,0.157053795,0.005680029
10,6.12323399573677e-16,-0.169275071
10.1,-0.157053795,-0.05171787
10.2,-0.313952598,-0.395915094
10.3,-0.470541567,-0.462625173
10.4,-0.626666168,-0.507728402
10.5,-0.782172325,-0.846748897
10.6,-0.936906573,-0.860505786
10.7,-1.090716207,-1.017608987
10.8,-1.243449436,-1.195504393
10.9,-1.39495553,-1.465725125
11,-1.545084972,-1.469506297
11.1,-1.693689601,-1.667132586
11.2,-1.840622763,-1.853109658
11.3,-1.985739453,-1.872931515
11.4,-2.128896458,-2.154660367
11.5,-2.269952499,-2.4159944
11.6,-2.408768371,-2.333625196
11.7,-2.545207079,-2.551420416
11.8,-2.679133975,-2.597732582
11.9,-2.810416889,-2.806871885
12,-2.938926261,-3.184005645
12.1,-3.064535268,-3.171025768
12.2,-3.187119949,-3.237489375
12.3,-3.306559327,-3.426259215
12.4,-3.42273553,-3.267007459
12.5,-3.535533906,-3.624704667
12.6,-3.644843137,-3.584468252
12.7,-3.750555348,-3.720388416
12.8,-3.852566214,-3.705232281
12.9,-3.950775062,-4.078971284
13,-4.045084972,-3.918903164
13.1,-4.135402871,-4.222111491
13.2,-4.221639628,-4.187180374
13.3,-4.303710135,-4.489797739
13.4,-4.3815334,-4.371519783
13.5,-4.455032621,-4.383495411
13.6,-4.524135262,-4.517734378
13.7,-4.588773128,-4.653620461
13.8,-4.648882429,-4.720765378
13.9,-4.704403845,-4.823102136
14,-4.755282581,-4.768349799
14.1,-4.801468428,-4.826591982
14.2,-4.842915806,-4.865457392
14.3,-4.87958381,-4.742588488
14.4,-4.911436254,-4.885054685
14.5,-4.938441703,-4.882681232
14.6,-4.960573507,-5.039854044
14.7,-4.977809823,-4.933937154
14.8,-4.990133642,-4.953411962
14.9,-4.997532802,-4.996042112
15,-5,-4.959045717
15.1,-4.997532802,-5.035096806
15.2,-4.990133642,-4.985408547
15.3,-4.977809823,-5.056222465
15.4,-4.960573507,-4.917988326
15.5,-4.938441703,-4.820088486
15.6,-4.911436254,-4.996110511
15.7,-4.87958381,-4.884723152
15.8,-4.842915806,-4.726619119
15.9,-4.801468428,-4.901325051
16,-4.755282581,-4.732882468
16.1,-4.704403845,-4.596532989
16.2,-4.648882429,-4.611114471
16.3,-4.588773128,-4.448786835
16.4,-4.524135262,-4.546469186
16.5,-4.455032621,-4.473478015
16.6,-4.3815334,-4.570540969
16.7,-4.303710135,-4.54465113
16.8,-4.221639628,-4.159121983
16.9,-4.135402871,-4.158978413
17,-4.045084972,-3.878021079
17.1,-3.950775062,-3.923545113
17.2,-3.852566214,-3.729575451
17.3,-3.750555348,-3.75363474
17.4,-3.644843137,-3.734351941
17.5,-3.535533906,-3.422432993
17.6,-3.42273553,-3.37867525
17.7,-3.306559327,-3.272351074
17.8,-3.187119949,-3.251585123
17.9,-3.064535268,-3.062130743
18,-2.938926261,-2.745961473
18.1,-2.810416889,-2.861173152
18.2,-2.679133975,-2.617276947
18.3,-2.545207079,-2.509159617
18.4,-2.408768371,-2.37352905
18.5,-2.269952499,-2.33823565
18.6,-2.128896458,-2.039651201
18.7,-1.985739453,-1.96710521
18.8,-1.840622763,-1.79649385
18.9,-1.693689601,-1.712213523
19,-1.545084972,-1.404290505
19.1,-1.39495553,-1.332363503
19.2,-1.243449436,-1.247997559
19.3,-1.090716207,-1.194004999
19.4,-0.936906573,-1.066407266
19.5,-0.782172325,-0.862518287
19.6,-0.626666168,-0.388649063
19.7,-0.470541567,-0.275049766
19.8,-0.313952598,-0.228706504
19.9,-0.157053795,-0.063050194
20,-1.22E-15,0.151703439
20.1,0.157053795,0.247889998
20.2,0.313952598,0.335302358
20.3,0.470541567,0.535009578
20.4,0.626666168,0.610116136
20.5,0.782172325,0.828052813
20.6,0.936906573,0.762036981
20.7,1.090716207,1.176420759
20.8,1.243449436,1.36813733
20.9,1.39495553,1.423382733
21,1.545084972,1.614480959
21.1,1.693689601,1.642833393
21.2,1.840622763,1.889252012
21.3,1.985739453,1.897049566
21.4,2.128896458,1.996869874
21.5,2.269952499,2.345869555
21.6,2.408768371,2.307441966
21.7,2.545207079,2.497026139
21.8,2.679133975,2.729984483
21.9,2.810416889,2.860927076
22,2.938926261,2.84434537
22.1,3.064535268,3.058243839
22.2,3.187119949,3.33077864
22.3,3.306559327,3.238806601
22.4,3.42273553,3.225709181
22.5,3.535533906,3.701964172
22.6,3.644843137,3.682212798
22.7,3.750555348,3.659148122
22.8,3.852566214,3.627575177
22.9,3.950775062,3.968548836
23,4.045084972,4.034706272
23.1,4.135402871,4.020512893
23.2,4.221639628,4.237706275
23.3,4.303710135,4.283689326
23.4,4.3815334,4.387518532
23.5,4.455032621,4.547839259
23.6,4.524135262,4.583544413
23.7,4.588773128,4.649111581
23.8,4.648882429,4.644104559
23.9,4.704403845,4.852544023
24,4.755282581,4.787820946
24.1,4.801468428,4.630482701
24.2,4.842915806,4.953979965
24.3,4.87958381,4.736494061
24.4,4.911436254,4.957754378
24.5,4.938441703,4.92036108
24.6,4.960573507,4.888143463
24.7,4.977809823,4.817596214
24.8,4.990133642,4.916802215
24.9,4.997532802,4.914138945
25,5,5.011957616
25.1,4.997532802,5.05725146
25.2,4.990133642,5.06597281
25.3,4.977809823,5.033552096
25.4,4.960573507,4.907817149
25.5,4.938441703,5.027154606
25.6,4.911436254,4.914018533
25.7,4.87958381,4.677401599
25.8,4.842915806,4.660899901
25.9,4.801468428,4.665372066
26,4.755282581,4.575628069
26.1,4.704403845,4.682351359
26.2,4.648882429,4.830206934
26.3,4.588773128,4.524401492
26.4,4.524135262,4.634365012
26.5,4.455032621,4.553892801
26.6,4.3815334,4.592016676
26.7,4.303710135,4.297352401
26.8,4.221639628,4.296115791
26.9,4.135402871,4.186519771
27,4.045084972,4.044024166
27.1,3.950775062,3.95909933
27.2,3.852566214,3.97317726
27.3,3.750555348,3.8021029
27.4,3.644843137,3.705770775
27.5,3.535533906,3.487800268
27.6,3.42273553,3.435232896
27.7,3.306559327,3.289403752
27.8,3.187119949,3.312224554
27.9,3.064535268,3.077117392
28,2.938926261,2.936888994
28.1,2.810416889,2.783861742
28.2,2.679133975,2.681231629
28.3,2.545207079,2.553135153
28.4,2.408768371,2.346559645
28.5,2.269952499,2.315077531
28.6,2.128896458,2.226366109
28.7,1.985739453,1.837787014
28.8,1.840622763,1.748504903
28.9,1.693689601,1.70745257
29,1.545084972,1.61392481
29.1,1.39495553,1.359395236
29.2,1.243449436,1.139589738
29.3,1.090716207,1.144746099
29.4,0.936906573,0.882727305
29.5,0.782172325,0.873481404
29.6,0.626666168,0.601037261
29.7,0.470541567,0.374158479
29.8,0.313952598,0.222439823
29.9,0.157053795,0.013618757
30,1.83697019872103e-15,-0.063631677
30.1,-0.157053795,-0.121609906
30.2,-0.313952598,-0.258896346
30.3,-0.470541567,-0.616617516
30.4,-0.626666168,-0.743110474
30.5,-0.782172325,-0.774710731
30.6,-0.936906573,-1.127556295
30.7,-1.090716207,-1.068222108
30.8,-1.243449436,-1.16899091
30.9,-1.39495553,-1.280734035
31,-1.545084972,-1.632105757
31.1,-1.693689601,-1.653120273
31.2,-1.840622763,-1.667895473
31.3,-1.985739453,-1.818282301
31.4,-2.128896458,-1.838978433
31.5,-2.269952499,-2.00005235
31.6,-2.408768371,-2.406103674
31.7,-2.545207079,-2.490779902
31.8,-2.679133975,-2.803723519
31.9,-2.810416889,-2.835413335
32,-2.938926261,-3.045266349
32.1,-3.064535268,-2.9605665
32.2,-3.187119949,-3.113351902
32.3,-3.306559327,-3.31513101
32.4,-3.42273553,-3.390828987
32.5,-3.535533906,-3.630369887
32.6,-3.644843137,-3.645264072
32.7,-3.750555348,-3.756013142
32.8,-3.852566214,-3.827284048
32.9,-3.950775062,-4.088087305
33,-4.045084972,-4.049409296
33.1,-4.135402871,-4.14224607
33.2,-4.221639628,-4.168151109
33.3,-4.303710135,-4.47719092
33.4,-4.3815334,-4.277333857
33.5,-4.455032621,-4.29392112
33.6,-4.524135262,-4.680980153
33.7,-4.588773128,-4.698516607
33.8,-4.648882429,-4.62640078
33.9,-4.704403845,-4.607884105
34,-4.755282581,-4.518763084
34.1,-4.801468428,-4.785572185
34.2,-4.842915806,-4.814990689
34.3,-4.87958381,-4.827855515
34.4,-4.911436254,-5.165474644
34.5,-4.938441703,-4.752818061
34.6,-4.960573507,-5.051041709
34.7,-4.977809823,-4.949752734
34.8,-4.990133642,-5.176254579
34.9,-4.997532802,-4.934774409
35,-5,-5.009689983
35.1,-4.997532802,-4.943926672
35.2,-4.990133642,-4.925250431
35.3,-4.977809823,-4.840647262
35.4,-4.960573507,-4.944738425
35.5,-4.938441703,-4.940088999
35.6,-4.911436254,-5.129783511
35.7,-4.87958381,-4.918115733
35.8,-4.842915806,-4.719792912
35.9,-4.801468428,-4.756570902
36,-4.755282581,-4.841300862
36.1,-4.704403845,-4.775353814
36.2,-4.648882429,-4.831112596
36.3,-4.588773128,-4.612682869
36.4,-4.524135262,-4.552099845
36.5,-4.455032621,-4.700697014
36.6,-4.3815334,-4.490467614
36.7,-4.303710135,-4.450059252
36.8,-4.221639628,-4.272082846
36.9,-4.135402871,-4.266599186
37,-4.045084972,-3.987099942
37.1,-3.950775062,-3.839701919
37.2,-3.852566214,-3.751224551
37.3,-3.750555348,-3.669547356
37.4,-3.644843137,-3.552979757
37.5,-3.535533906,-3.656329787
37.6,-3.42273553,-3.417309055
37.7,-3.306559327,-3.326695086
37.8,-3.187119949,-3.14984422
37.9,-3.064535268,-3.028228373
38,-2.938926261,-2.96655914
38.1,-2.810416889,-2.860755087
38.2,-2.679133975,-2.847973583
38.3,-2.545207079,-2.558651185
38.4,-2.408768371,-2.3704252
38.5,-2.269952499,-2.340479909
38.6,-2.128896458,-2.230298457
38.7,-1.985739453,-1.907306077
38.8,-1.840622763,-1.899844128
38.9,-1.693689601,-1.738331722
39,-1.545084972,-1.580780014
39.1,-1.39495553,-1.460927085
39.2,-1.243449436,-1.265673485
39.3,-1.090716207,-0.974892394
39.4,-0.936906573,-0.940100859
39.5,-0.782172325,-0.776057915
39.6,-0.626666168,-0.678223137
